Make,Type,Year,Origin,Options,Gear_Type,Mileage,Region,Price
GMC,Yukon,2008,Saudi,Full,Automatic,382000,Riyadh,45000
Hyundai,Senta fe,2021,Saudi,Semi Full,Automatic,2200,Riyadh,0
Lexus,GX,2015,Saudi,Full,Automatic,146000,Riyadh,126000
Nissan,Sunny,2019,Saudi,Standard,Automatic,87537,Riyadh,26800
Nissan,Sunny,2019,Saudi,Standard,Automatic,99104,Riyadh,26800
Nissan,Sunny,2019,Saudi,Standard,Automatic,106007,Riyadh,26800
Nissan,Sunny,2019,Saudi,Standard,Automatic,88564,Riyadh,26800
Hyundai,Azera,2016,Saudi,Semi Full,Automatic,166000,Riyadh,47000
Honda,Accord,2015,Saudi,Semi Full,Automatic,196000,Riyadh,59000
Genesis,G80,2018,Saudi,Semi Full,Automatic,70000,Riyadh,110000
Chevrolet,Tahoe,2014,Saudi,Semi Full,Automatic,382000,Riyadh,60000
Cadillac,CT-S,2010,Saudi,Full,Automatic,240000,Riyadh,32000
Toyota,Prado,2013,Saudi,Full,Automatic,108000,Riyadh,87000
Geely,EC7,2014,Saudi,Full,Manual,161300,Riyadh,12000
MG,ZS,2019,Saudi,Semi Full,Automatic,23000,Riyadh,47000
Lexus,ES,2019,Saudi,Full,Automatic,26000,Jeddah,207000
Hyundai,Kona,2019,Saudi,Standard,Automatic,19000,Riyadh,59000
Jeep,Grand Cherokee,2014,Saudi,Full,Automatic,120000,Riyadh,85000
GMC,Yukon,2016,Gulf Arabic,Semi Full,Automatic,63000,Riyadh,140000
Kia,Optima,2018,Saudi,Standard,Automatic,11000,Riyadh,0
Honda,Accord,2015,Gulf Arabic,Standard,Automatic,221000,Riyadh,48000
Mercedes,S,2006,Other,Semi Full,Automatic,235115,Riyadh,15000
INFINITI,M,2007,Saudi,Full,Automatic,303000,Riyadh,10000
Dodge,Charger,2018,Saudi,Full,Automatic,85000,Aseer,130000
Mercedes,S,2018,Saudi,Full,Automatic,73000,Riyadh,345000
Ford,Taurus,2018,Saudi,Standard,Automatic,82000,Riyadh,77000
Mercedes,E,2014,Gulf Arabic,Standard,Automatic,49000,Dammam,75000
Lexus,LX,2015,Saudi,Full,Automatic,108020,Riyadh,0
Lexus,GX,2018,Gulf Arabic,Semi Full,Automatic,53190,Riyadh,0
Nissan,Sunny,2019,Saudi,Standard,Automatic,105739,Riyadh,26800
Nissan,Sunny,2019,Saudi,Standard,Automatic,55526,Riyadh,27500
Nissan,Sunny,2019,Saudi,Standard,Automatic,98659,Riyadh,27500
Nissan,Sunny,2019,Saudi,Standard,Automatic,95623,Riyadh,27500
Hyundai,Elantra,2019,Saudi,Semi Full,Automatic,86000,Dammam,54000
Toyota,Yaris,2018,Saudi,Standard,Automatic,128000,Jeddah,32000
Nissan,Patrol,1992,Saudi,Standard,Manual,357000,Dammam,27000
Ferrari,GTB 599 Fiorano,2008,Saudi,Full,Automatic,59000,Dammam,280000
Chevrolet,Suburban,2015,Other,Full,Automatic,189000,Riyadh,0
Mercedes,CLA,2020,Other,Full,Automatic,15000,Riyadh,410000
Mercedes,E,2017,Gulf Arabic,Full,Automatic,98000,Dammam,210000
Hyundai,Accent,2019,Saudi,Standard,Automatic,101000,Jeddah,37000
Mazda,CX9,2017,Other,Full,Automatic,93000,Dammam,111000
Genesis,Royal,2015,Saudi,Full,Automatic,194000,Riyadh,85000
Toyota,Corolla,2015,Saudi,Standard,Automatic,176277,Dammam,37000
Kia,Picanto,2015,Saudi,Standard,Automatic,133000,Al-Medina,18500
Great Wall,Power,2021,Saudi,Full,Automatic,4000,Al-Medina,95000
Nissan,Datsun,2015,Saudi,Full,Manual,212000,Riyadh,42000
Jaguar,F-Pace,2018,Saudi,Full,Automatic,70000,Jeddah,145000
Toyota,Hilux,2016,Saudi,Full,Manual,28000,Dammam,95000
Toyota,Furniture,2019,Saudi,Standard,Automatic,113000,Riyadh,105000
Toyota,FJ,2017,Saudi,Full,Automatic,144000,Makkah,0
Ford,Expedition,2016,Saudi,Full,Automatic,104000,Dammam,95000
Honda,Accord,2019,Gulf Arabic,Full,Automatic,8200,Dammam,107000
Chevrolet,Suburban,2001,Other,Semi Full,Automatic,500000,Riyadh,15000
Ford,Explorer,2016,Gulf Arabic,Full,Automatic,93000,Riyadh,95000
Toyota,Land Cruiser,2015,Saudi,Full,Automatic,242,Hail,0
Toyota,Land Cruiser 70,1982,Saudi,Standard,Manual,200000,Makkah,0
Toyota,Land Cruiser,2016,Saudi,Full,Automatic,64731,Riyadh,0
Lexus,LX,2020,Gulf Arabic,Full,Automatic,27000,Riyadh,418000
Hyundai,Elantra,2019,Saudi,Standard,Automatic,120496,Riyadh,40800
Hyundai,Elantra,2019,Saudi,Standard,Automatic,120244,Riyadh,43000
Hyundai,Accent,2014,Saudi,Standard,Automatic,101231,Riyadh,21500
Nissan,Sunny,2017,Saudi,Standard,Automatic,106646,Riyadh,22500
Toyota,Prado,2018,Saudi,Full,Automatic,47000,Qassim,0
Ford,Expedition,2017,Gulf Arabic,Full,Automatic,34000,Riyadh,108000
Land Rover,Range Rover,2009,Saudi,Full,Automatic,195000,Jeddah,45000
Hyundai,Elantra,2018,Saudi,Semi Full,Automatic,81000,Riyadh,44000
Hyundai,Sonata,2018,Saudi,Semi Full,Automatic,99000,Riyadh,62000
Dodge,Charger,2016,Saudi,Standard,Automatic,151000,Riyadh,69000
Kia,Cadenza,2018,Saudi,Standard,Automatic,74000,Riyadh,60000
Toyota,Furniture,2019,Saudi,Full,Automatic,40000,Riyadh,120000
Hyundai,Accent,2018,Saudi,Standard,Automatic,78000,Riyadh,36000
Hyundai,Sonata,2013,Saudi,Full,Automatic,205000,Riyadh,40000
Toyota,FJ,2013,Saudi,Full,Automatic,296000,Riyadh,79000
Kia,Cadenza,2017,Saudi,Full,Automatic,179000,Riyadh,73000
Hyundai,Elantra,2018,Saudi,Semi Full,Automatic,88000,Riyadh,44000
Hyundai,Elantra,2018,Saudi,Semi Full,Automatic,96000,Riyadh,47000
Genesis,G80,2019,Saudi,Semi Full,Automatic,66000,Riyadh,120000
Hyundai,Sonata,2014,Saudi,Semi Full,Automatic,216000,Riyadh,41000
Toyota,Camry,2016,Saudi,Full,Automatic,244000,Riyadh,59000
Genesis,Royal,2016,Saudi,Full,Automatic,55000,Riyadh,95000
Toyota,FJ,2015,Saudi,Full,Automatic,190000,Riyadh,98000
Hyundai,Senta fe,2018,Saudi,Standard,Automatic,41542,Riyadh,69000
Kia,Optima,2017,Saudi,Semi Full,Automatic,245000,Riyadh,45000
Genesis,Royal,2018,Saudi,Full,Automatic,78000,Riyadh,110000
Kia,Cadenza,2015,Saudi,Standard,Automatic,180000,Riyadh,57000
GAC,GS8,2020,Saudi,Full,Automatic,29200,Jeddah,80000
Toyota,Furniture,2017,Saudi,Semi Full,Automatic,400000,Riyadh,60000
Nissan,Sunny,2018,Saudi,Standard,Automatic,108708,Riyadh,24000
Nissan,Sunny,2018,Saudi,Standard,Automatic,124758,Riyadh,24000
Nissan,Sunny,2017,Saudi,Standard,Automatic,158218,Riyadh,24500
Kia,Cadenza,2017,Saudi,Standard,Automatic,83000,Riyadh,50000
Nissan,Maxima,2017,Saudi,Full,Automatic,860000,Riyadh,77000
Hyundai,Azera,2018,Saudi,Semi Full,Automatic,79000,Riyadh,75000
Genesis,G80,2018,Saudi,Semi Full,Automatic,97000,Riyadh,98000
Kia,Cadenza,2016,Saudi,Standard,Automatic,122000,Riyadh,50000
Hyundai,Azera,2017,Saudi,Full,Automatic,168000,Riyadh,55000
Nissan,Maxima,2017,Saudi,Semi Full,Automatic,121000,Riyadh,64000
Toyota,Land Cruiser,2015,Saudi,Full,Automatic,300000,Riyadh,135000
Chevrolet,Caprice,2015,Saudi,Standard,Automatic,264000,Riyadh,69000
Dodge,Challenger,2017,Other,Full,Automatic,113000,Dammam,99000
Honda,Accord,2018,Gulf Arabic,Full,Automatic,75000,Dammam,92000
Lexus,ES,2016,Other,Semi Full,Automatic,88000,Dammam,115000
Nissan,Datsun,2015,Saudi,Semi Full,Manual,182000,Dammam,29000
Chevrolet,Camaro,2016,Other,Full,Automatic,94000,Dammam,106000
Genesis,G80,2020,Saudi,Semi Full,Automatic,11000,Riyadh,125000
Ford,Taurus,2018,Other,Full,Automatic,100000,Dammam,89000
Ford,Taurus,2015,Other,Semi Full,Automatic,103000,Dammam,78000
Hyundai,Tucson,2019,Saudi,Semi Full,Automatic,67000,Riyadh,75000
Kia,Cadenza,2018,Saudi,Standard,Automatic,94000,Riyadh,55000
Hyundai,Elantra,2019,Saudi,Standard,Automatic,95000,Riyadh,52000
Hyundai,Accent,2017,Saudi,Semi Full,Automatic,147000,Riyadh,29000
Genesis,Royal,2016,Saudi,Full,Automatic,140000,Riyadh,88000
GMC,Yukon,2016,Saudi,Full,Automatic,152000,Riyadh,122000
Toyota,Land Cruiser,2018,Gulf Arabic,Full,Automatic,61312,Riyadh,270000
Nissan,Sunny,2017,Saudi,Standard,Automatic,152973,Riyadh,24500
Renault,Symbol,2020,Saudi,Standard,Automatic,46505,Riyadh,26000
Renault,Fluence,2015,Saudi,Semi Full,Automatic,116633,Riyadh,25500
Nissan,Sunny,2018,Saudi,Standard,Automatic,90418,Riyadh,25500
Mazda,6,2019,Saudi,Standard,Automatic,129000,Riyadh,65000
Hyundai,Elantra,2014,Saudi,Full,Automatic,119000,Riyadh,33000
Honda,Accord,2017,Saudi,Semi Full,Automatic,173000,Riyadh,68000
MG,RX5,2018,Saudi,Full,Automatic,109000,Riyadh,49000
Toyota,Land Cruiser,2012,Saudi,Full,Automatic,448000,Riyadh,109000
Ford,Taurus,2016,Saudi,Standard,Automatic,136000,Riyadh,58000
Genesis,G80,2018,Saudi,Semi Full,Automatic,97000,Riyadh,98000
Kia,Cadenza,2019,Saudi,Standard,Automatic,73000,Riyadh,65000
GMC,Yukon,2011,Saudi,Semi Full,Automatic,600000,Riyadh,36000
MG,ZS,2020,Saudi,Standard,Automatic,9300,Taef,0
Hyundai,Kona,2019,Saudi,Full,Automatic,22000,Riyadh,77000
Toyota,Avalon,2016,Other,Semi Full,Automatic,123000,Riyadh,93000
Dodge,Charger,2018,Saudi,Standard,Automatic,79000,Riyadh,79000
Hyundai,Senta fe,2016,Saudi,Semi Full,Automatic,126000,Riyadh,63000
Toyota,FJ,2013,Saudi,Semi Full,Automatic,154000,Riyadh,77000
Chrysler,C300,2017,Saudi,Full,Automatic,130000,Riyadh,88000
Kia,Optima,2018,Saudi,Standard,Automatic,40000,Riyadh,55000
Hyundai,Azera,2016,Saudi,Semi Full,Automatic,130000,Riyadh,50000
Suzuki,APV,2016,Saudi,Standard,Manual,110000,Riyadh,29500
Honda,Accord,2016,Saudi,Full,Automatic,116000,Riyadh,62000
Peugeot,3008,2018,Saudi,Full,Automatic,30000,Riyadh,79000
Kia,Cadenza,2016,Saudi,Standard,Automatic,145000,Riyadh,63000
Kia,Cerato,2019,Saudi,Standard,Automatic,43629,Jeddah,43500
Nissan,Sunny,2018,Saudi,Standard,Automatic,106036,Riyadh,25900
Nissan,Sunny,2019,Saudi,Standard,Automatic,104688,Riyadh,26000
Nissan,Sunny,2019,Saudi,Standard,Automatic,86754,Riyadh,26000
Nissan,Sunny,2019,Saudi,Standard,Automatic,105509,Riyadh,26000
Chevrolet,Traverse,2017,Saudi,Semi Full,Automatic,110000,Riyadh,49000
Honda,Accord,2017,Saudi,Standard,Automatic,63000,Riyadh,88000
Genesis,G80,2017,Saudi,Semi Full,Automatic,183000,Riyadh,85000
Ford,Marquis,2010,Saudi,Standard,Automatic,290,Taef,0
Honda,Accord,2012,Saudi,Standard,Automatic,251000,Riyadh,38000
Hyundai,Sonata,2018,Saudi,Standard,Automatic,63000,Riyadh,58000
Kia,Optima,2016,Saudi,Semi Full,Automatic,91000,Riyadh,45000
Toyota,Innova,2017,Saudi,Full,Automatic,180000,Makkah,0
Hyundai,Sonata,2018,Saudi,Standard,Automatic,130000,Riyadh,50000
GMC,Sierra,2011,Other,Semi Full,Automatic,258000,Riyadh,50000
Honda,Accord,2017,Saudi,Semi Full,Automatic,126000,Riyadh,75000
Mercedes,S,2007,Saudi,Full,Automatic,243000,Riyadh,45000
Ford,F150,2012,Saudi,Standard,Automatic,352000,Riyadh,38000
Toyota,Land Cruiser,2003,Saudi,Full,Automatic,629000,Riyadh,40000
Nissan,Maxima,2017,Saudi,Full,Automatic,135000,Riyadh,73000
Toyota,Land Cruiser,2014,Saudi,Full,Automatic,210600,Riyadh,120000
Hyundai,Sonata,2016,Saudi,Full,Automatic,104000,Riyadh,58000
Ford,Explorer,2016,Gulf Arabic,Semi Full,Automatic,112000,Riyadh,83000
Hyundai,Genesis,2017,Other,Standard,Automatic,128000,Riyadh,83000
Toyota,Corolla,2015,Saudi,Semi Full,Automatic,370000,Riyadh,30000
Honda,Accord,2017,Saudi,Semi Full,Automatic,223000,Riyadh,75000
Kia,Cerato,2017,Saudi,Standard,Automatic,72000,Riyadh,37500
Ford,Taurus,2018,Saudi,Standard,Automatic,71000,Riyadh,77000
Lexus,NX,2017,Gulf Arabic,Full,Automatic,63000,Dammam,174000
Hyundai,Elantra,2019,Saudi,Semi Full,Automatic,59700,Dammam,54500
Hyundai,Senta fe,2020,Saudi,Standard,Automatic,93000,Riyadh,82000
Mercedes,C,2015,Saudi,Semi Full,Automatic,73000,Riyadh,90000
Nissan,Sunny,2019,Saudi,Standard,Automatic,96341,Riyadh,26000
Nissan,Sunny,2019,Saudi,Standard,Automatic,87775,Riyadh,26000
Nissan,Sunny,2019,Saudi,Standard,Automatic,89136,Riyadh,26000
Nissan,Sunny,2019,Saudi,Standard,Automatic,71913,Riyadh,26500
MG,RX5,2019,Saudi,Full,Automatic,39000,Jeddah,56000
Genesis,G70,2019,Saudi,Semi Full,Automatic,11000,Riyadh,109000
Ford,Flex,2012,Saudi,Semi Full,Automatic,277000,Dammam,30000
GMC,Yukon,2015,Saudi,Full,Automatic,200000,Dammam,150000
GMC,Yukon,2016,Other,Full,Automatic,126000,Riyadh,176000
Mercedes,E,2021,Other,Standard,Automatic,4000,Riyadh,259000
Lexus,UX,2019,Gulf Arabic,Full,Automatic,7000,Dammam,165000
Toyota,Camry,2016,Saudi,Semi Full,Automatic,238000,Jeddah,48500
Land Rover,Range Rover,2019,Other,Full,Automatic,1800,Riyadh,350000
Toyota,Yaris,2015,Saudi,Standard,Automatic,193000,Dammam,25000
Mercedes,S,2015,Other,Full,Automatic,46000,Dammam,210000
Kia,Picanto,2015,Saudi,Standard,Automatic,136000,Al-Medina,18500
GMC,Yukon,2008,Saudi,Full,Automatic,200000,Jeddah,38000
Hyundai,Sonata,2018,Saudi,Standard,Automatic,55000,Riyadh,60000
Lexus,LX,2007,Gulf Arabic,Full,Automatic,269000,Riyadh,0
Kia,Cores,2014,Saudi,Full,Automatic,81000,Jeddah,78000
Honda,Accord,2018,Saudi,Semi Full,Automatic,32000,Jeddah,97000
Toyota,Camry,2017,Gulf Arabic,Standard,Automatic,97000,Dammam,68000
Hyundai,Kona,2019,Saudi,Standard,Automatic,76000,Jeddah,56000
Hyundai,Creta,2017,Saudi,Semi Full,Automatic,125000,Al-Ahsa,57000
Mercedes,S,2014,Gulf Arabic,Full,Automatic,102000,Makkah,0
Chevrolet,Impala,2018,Saudi,Standard,Automatic,75000,Riyadh,64000
GMC,Yukon,2011,Saudi,Full,Automatic,200,Taef,70000
Nissan,Sunny,2019,Saudi,Standard,Automatic,88795,Riyadh,26500
Kia,Rio,2016,Saudi,Standard,Automatic,272232,Riyadh,26500
Nissan,Sunny,2017,Saudi,Standard,Automatic,145161,Riyadh,27000
Nissan,Sunny,2018,Saudi,Standard,Automatic,117081,Riyadh,27000
Honda,Odyssey,2015,Saudi,Standard,Automatic,192000,Dammam,58000
Mazda,6,2014,Other,Full,Manual,201000,Riyadh,42000
Toyota,Prado,2018,Gulf Arabic,Semi Full,Automatic,39000,Riyadh,131500
Nissan,Sylvian Bus,2018,Saudi,Full,Manual,3000,Riyadh,107000
Toyota,Prado,2018,Gulf Arabic,Semi Full,Automatic,86000,Riyadh,127000
Lexus,LX,2018,Saudi,Full,Automatic,105000,Riyadh,355000
Land Rover,Range Rover,2014,Saudi,Full,Automatic,131000,Riyadh,230000
Cadillac,CT6,2019,Saudi,Full,Automatic,17500,Riyadh,0
Hyundai,H1,2015,Saudi,Semi Full,Automatic,131000,Al-Medina,42000
Mercedes,S,2015,Other,Full,Automatic,109000,Riyadh,199000
Toyota,Camry,2019,Saudi,Full,Automatic,13000,Riyadh,94000
Toyota,Camry,2020,Saudi,Standard,Automatic,37000,Riyadh,80000
Toyota,Hilux,2014,Saudi,Standard,Manual,125000,Riyadh,40000
Ford,Taurus,2019,Saudi,Standard,Automatic,49000,Riyadh,82000
Toyota,Camry,2019,Saudi,Standard,Automatic,48000,Riyadh,80000
Hyundai,Sonata,2018,Saudi,Semi Full,Automatic,116000,Riyadh,55000
Ford,Expedition,2013,Saudi,Standard,Automatic,235000,Riyadh,50000
Nissan,Patrol,2015,Saudi,Full,Automatic,228000,Riyadh,130000
Toyota,Ciocca,2009,Saudi,Full,Automatic,343000,Riyadh,60000
Chevrolet,Tahoe,2015,Saudi,Standard,Automatic,233000,Riyadh,98000
Toyota,Land Cruiser Pickup,2018,Saudi,Standard,Manual,98000,Riyadh,105000
Genesis,G80,2019,Saudi,Semi Full,Automatic,50000,Riyadh,125000
Toyota,Cressida,1996,Saudi,Semi Full,Manual,8000,Aseer,13000
Lexus,LX,2018,Gulf Arabic,Full,Automatic,122000,Taef,340000
Kia,Sportage,2020,Saudi,Semi Full,Automatic,43000,Riyadh,0
Renault,Duster,2017,Saudi,Standard,Automatic,49597,Riyadh,27500
Changan,Seven,2020,Saudi,Standard,Automatic,37644,Riyadh,27500
Changan,Seven,2020,Saudi,Standard,Automatic,55531,Riyadh,27500
Changan,Seven,2020,Saudi,Standard,Automatic,49214,Riyadh,27500
Mercedes,GLC,2017,Gulf Arabic,Full,Manual,143000,Riyadh,155000
Hyundai,H1,2020,Saudi,Full,Automatic,40000,Jeddah,0
Chevrolet,Impala,2017,Gulf Arabic,Standard,Automatic,89000,Riyadh,62000
Kia,Carnival,2016,Other,Semi Full,Automatic,118000,Riyadh,59000
Honda,Accord,2018,Gulf Arabic,Semi Full,Automatic,38000,Riyadh,87000
GMC,Yukon,2014,Saudi,Standard,Automatic,188000,Abha,0
Toyota,Camry,2016,Gulf Arabic,Full,Automatic,62000,Riyadh,75000
Mercedes,C,2015,Gulf Arabic,Semi Full,Automatic,173000,Riyadh,108000
Geely,EC8,2012,Saudi,Full,Automatic,200000,Riyadh,11500
Lexus,ES,2016,Gulf Arabic,Standard,Automatic,45000,Riyadh,112000
HAVAL,H6,2020,Saudi,Full,Automatic,2000,Jeddah,69000
Chrysler,300,2016,Gulf Arabic,Full,Automatic,16000,Riyadh,90000
Ford,Flex,2017,Gulf Arabic,Standard,Automatic,110000,Riyadh,67000
Nissan,Patrol,2016,Gulf Arabic,Full,Automatic,92000,Riyadh,175000
Mercedes,E,2016,Gulf Arabic,Full,Automatic,114000,Riyadh,106000
Toyota,FJ,2015,Saudi,Full,Automatic,259880,Riyadh,89000
Kia,Optima,2017,Gulf Arabic,Standard,Automatic,75000,Riyadh,48000
GMC,Yukon,2017,Gulf Arabic,Semi Full,Automatic,96000,Riyadh,145000
BMW,The 7,2017,Gulf Arabic,Full,Automatic,87000,Riyadh,175000
Nissan,Z370,2015,Saudi,Semi Full,Automatic,111075,Jazan,80000
Kia,Rio,2017,Saudi,Standard,Automatic,180818,Riyadh,27500
Kia,Rio,2017,Saudi,Standard,Automatic,144024,Riyadh,27500
Changan,Seven,2020,Saudi,Standard,Automatic,47528,Riyadh,28500
Changan,Seven,2020,Saudi,Standard,Automatic,36833,Riyadh,28500
Chevrolet,Impala,2016,Gulf Arabic,Standard,Automatic,114000,Riyadh,65000
Ford,Explorer,2016,Gulf Arabic,Standard,Automatic,111000,Riyadh,75000
Toyota,Camry,2016,Gulf Arabic,Standard,Automatic,81000,Riyadh,62000
Toyota,Camry,2016,Gulf Arabic,Semi Full,Automatic,78000,Riyadh,57000
Chevrolet,Tahoe,2016,Gulf Arabic,Semi Full,Automatic,97000,Riyadh,135000
Chevrolet,Spark,2019,Saudi,Standard,Automatic,63744,Riyadh,25000
Hyundai,Accent,2018,Saudi,Standard,Automatic,71000,Riyadh,38000
Hyundai,Sonata,2018,Other,Full,Automatic,65239,Qassim,67000
Toyota,Yaris,2018,Saudi,Standard,Automatic,131000,Jeddah,35000
Ford,Expedition,2008,Saudi,Semi Full,Automatic,346000,Dammam,27000
Rolls-Royce,Ghost,2010,Saudi,Full,Automatic,175000,Dammam,310000
Genesis,G80,2016,Other,Full,Automatic,124000,Riyadh,86000
Mercedes,E,2019,Other,Standard,Automatic,38000,Riyadh,216000
Porsche,911,2013,Saudi,Full,Automatic,26000,Dammam,280000
Toyota,Corolla,2018,Saudi,Standard,Automatic,121000,Jeddah,48000
Genesis,Royal,2015,Saudi,Full,Automatic,98000,Riyadh,111000
BMW,The 7,2020,Gulf Arabic,Full,Automatic,14000,Riyadh,349000
Kia,Carnival,2009,Saudi,Standard,Automatic,126000,Dammam,20000
Lexus,ES,2019,Other,Full,Automatic,40000,Dammam,185000
Mitsubishi,Attrage,2018,Saudi,Standard,Automatic,68000,Al-Medina,26500
Ford,Focus,2014,Saudi,Standard,Automatic,75000,Riyadh,21000
Toyota,Land Cruiser,2018,Saudi,Full,Automatic,23435,Riyadh,0
Chevrolet,Caprice,2013,Saudi,Standard,Automatic,106000,Dammam,79000
Chevrolet,Impala,2016,Saudi,Standard,Automatic,91000,Dammam,55000
Toyota,Furniture,2014,Saudi,Standard,Automatic,127000,Jeddah,57000
Mazda,CX9,2017,Saudi,Full,Automatic,123000,Riyadh,0
Toyota,Land Cruiser,2020,Saudi,Full,Automatic,21000,Jazan,275000
Nissan,Sunny,2018,Saudi,Standard,Automatic,79968,Riyadh,29000
Toyota,Yaris,2015,Saudi,Full,Automatic,203429,Riyadh,29000
Hyundai,Accent,2018,Saudi,Standard,Automatic,93788,Riyadh,29000
Renault,Duster,2018,Saudi,Standard,Automatic,164169,Riyadh,29500
GMC,Sierra,2020,Saudi,Standard,Automatic,17000,Dammam,156000
Chevrolet,Tahoe,2019,Saudi,Standard,Automatic,34000,Riyadh,158000
Kia,Rio,2017,Saudi,Standard,Automatic,170000,Jeddah,26000
Ford,Explorer,2015,Saudi,Semi Full,Automatic,160000,Al-Ahsa,65000
Hyundai,Elantra,2018,Saudi,Standard,Automatic,94000,Riyadh,0
Nissan,X-Trail,2006,Saudi,Standard,Automatic,238000,Dammam,13000
Isuzu,Dyna,2021,Saudi,Standard,Manual,100000,Riyadh,0
Toyota,Land Cruiser,2020,Gulf Arabic,Semi Full,Automatic,124000,Jeddah,250000
Toyota,Land Cruiser,2015,Saudi,Full,Automatic,119000,Dammam,180000
Chevrolet,Tahoe,2015,Other,Full,Automatic,168000,Dammam,110000
Honda,Accord,2019,Gulf Arabic,Full,Automatic,45000,Riyadh,102000
Mercedes,C,2017,Other,Full,Automatic,210000,Riyadh,210000
